OTU_ID	RV170	RV172	RV174	RV177	RV178	RV179	RV180	RV181	RV182	RV183	RV184	RV185	RV186	RV187	RV188	RV189	RV190	RV191	RV192	RV193	RV194	RV195	RV196	RV197	RV198	RV199	RV200	RV201	RV202	RV203	RV204	RV205	RV206	RV207	RV208	RV209	RV210	RV211	RV212	RV213	RV214	RV215	RV216	RV217	RV218	RV219	RV220	RV221	RV222	RV223	RV224	RV225	RV226	RV227	RV228	RV229	RV230	RV231	RV232	RV233	RV234	RV235	RV236	RV237	RV238	RV239	RV240	RV241	RV242	RV243	RV244	RV245	RV246	RV247	RV248	RV249	RV250	RV251	RV252	RV253	RV254	RV255	RV256	RV257	RV258	RV303	RV373	RV50	RV52	RV54	RV56	RV57	RV58	RV59	RV60	RV61	RV62	RV63	RV64	RV65	RV66	RV67	RV68	RV69	RV70	RV71	RV72	RV73	RV74	RV76	RV77	RV78	RV79	RV80	RV81	RV82	RV84	RV85	RV86	RV87	RV88	RV89	RV90	RV92	RV93	RV94	RV95	RV96	RV97	RV98
OTU_1	14113	5286	183	216	3763	7521	9497	3232	24111	81	1090	314	331	3388	1913	22	2136	52	1967	50530	19927	1745	57777	6	2	7	7	8	11	1	5	3	1	4	274	1	112	76	76	4	1	12	6	9	762	2	1426	10	0	1590	886	156	891	153	164	2003	2347	5273	71	1423	372	479	69	176	55	218	19	9	50	9	10	5	9	4	360	4051	9352	4953	4354	19040	3832	358	18996	26	3166	6269	23	1394	815	3886	7334	2009	440	24	12	6	11	3	973	36620	4715	24486	45511	494	4688	2587	2176	231	13563	23611	2308	13747	9860	10984	1976	15155	3928	1288	1085	12047	89	1028	1015	92	527	747	490	10261	7702	20932
OTU_2	1164	181	37	1490	4	9	12	302	34	3554	4342	576	40639	14376	5251	1131	1184	2977	20413	4570	19236	1182	1282	2280	1170	126	896	1486	6989	1498	4855	6658	6588	219	452	722	1	84	2173	2	473	756	8551	2367	21407	4152	2817	13402	3088	3857	7651	11117	9602	6310	17211	12	26613	11318	31581	9963	455	2260	16	6	2975	38680	2431	504	13336	31	14	128	102	7	2	2201	1830	29298	22425	14	8	2419	23	4063	11	20	9	9	849	7	23	1	4	151	46	419	48	160	6	9	18	3	3	4	8	15	18	19	4	16	990	4764	58	114	601	497	15	347	10	8	966	4444	112	393	177	12940	258	1630	20673	1650
OTU_3	10	29	4374	3424	12	5203	2082	1376	16144	8	1679	1568	505	3832	7	8	4	13	198	1585	29328	678	1801	30	2	5	7	6	1	2	1	6	1	2	280	4	582	2959	329	14	1	3	5	6	4	0	0	39	179	149	0	2106	35	99	2425	7032	1404	13	393	13613	14	6450	252	135	2	51	22	17	3	2	5	223	93	36	769	828	2105	1960	154	1823	3834	7146	5101	14	871	15271	3	220	41	388	3	14	2	16	9	29	105	122	2	13	9842	6	6	18	7	9	11	10	811	6374	337	51	9757	1373	195	583	34290	601	12771	53766	103	255	63	41	18	13	420	257	27736	9424
OTU_4	3199	7	1524	4192	116	318	32	0	6	88	10523	6699	0	21229	5	0	7	3	3	0	2	9	0	1	2	1	1	4	4	5	1	0	2	0	3883	310	5837	8838	7135	5	447	4	2	608	20782	4087	8	4	542	0	0	0	1	381	1	17271	761	1	5	3015	733	9097	10157	255	162	1067	12190	14	417	179	104	1	0	0	1	1	3	22	1	2	8	1	12	2	4	2	5	5	13	8	3	1	3	34	240	161	9	142	0	3	1	2	4	4	7	3	0	21	0	6	21	15265	45	58	11649	532	9983	13461	1608	631	75	18	601	4	1	189	93	596	13	4
OTU_5	16	0	0	0	15	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	4	1	0	0	0	2	1	0	0	0	0	0	0	10	0	5	2	1	0	0	1	54907	1	8	0	0	0	0	47	69059	0	1	0	0	0	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0	7
OTU_6	0	1	0	1	3	5295	0	2393	4	28138	1	0	1	12517	1	2	0	1	3	3	0	3	0	0	0	1	0	3	0	5	2	0	2	2	0	0	0	0	1	1107	5116	7716	2	1	1	0	0	0	0	0	2	0	2816	2	1	0	0	2	0	9	2	1	0	1	2	3537	0	7879	4063	0	0	316	0	10	0	1	0	0	1	1	1	2	0	28329	2	0	2	2	2	0	2	0	0	96	0	2	1	0	1	1	4	5	1	6	0	0	0	0	0	3	5	1	8	0	1	0	0	3	2	6	165	2	0	0	3	0	7	0	0	0
OTU_7	7	3	6	683	28685	3854	3498	750	21636	9	11	4	14	1	0	0	0	0	0	2	0	72	0	0	0	0	1	1	0	1	0	1	0	1	27186	2596	2	891	1	1	2380	0	0	224	1	120	0	0	0	719	0	0	0	254	0	0	0	0	5	0	15	109	0	0	8	388	596	3	379	0	0	1	0	0	2	0	0	0	0	0	0	0	3	1	0	0	0	0	3	3	6	2	0	0	2	66	12	7	1	4	0	0	4	7	8	2	15	2	0	1	2	4	16	10	64	2436	6	2447	882	84	55	6	704	1	8	5	7	2	4	12
OTU_8	0	11441	1	97	3	3643	5	38	22	1761	13068	0	0	11290	1	0	0	1	0	3	0	4260	0	0	0	0	0	1	0	1	0	0	0	0	2591	0	1078	1	1	7	97	0	1	2	0	237	2007	66	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	3055	845	209	0	0	332	5431	13	0	18	0	0	1	0	2	8975	0	0	0	0	5	1	0	0	1	0	0	0	40	1	1	14	1	8	25	1	0	3	0	0	1	5	0	0	0	0	216	0	0	0	2	0	1	6	0	0	0	1723	48	1668	95	163	336	761	24	1	0
OTU_9	0	1	0	1	1	0	0	3	0	1	1	4	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5852	1	0	1	1	0	826	6642	6222	997	7623	208	4862	0	91	0	0	0	0	1	1	0	0	0	3	0	1	1	0	3	2	3	3	0	0	0	0	236	7	0	19	0	1	4	0	1	1	1	42	1	0	29	7	9	5	1	46	17	22247	1527	3	1	565	828	1499	2	2	16	0	415	6	7468
OTU_10	0	0	0	0	0	8026	734	2	0	0	0	0	1770	1	1	4	5	0	0	0	0	0	5	1	3	0	0	0	0	2	1	1	2	0	0	0	1	0	3	2	3	0	0	0	0	2	3	14526	1	0	1	0	1	0	0	5	3	0	0	0	7697	0	5	5	1	1	1	0	0	13335	61	0	1	1311	0	1	0	1	4	13	3	0	2	0	1	0	1	0	0	1	1	3	0	0	0	0	0	1	0	4	0	0	1	2	0	1	1	16104	0	0	0	0	0	0	12	4	0	0	0	1	2	1	1	0	0	0	1	1	3	0
