"","OTU","Sample","Abundance","BarcodeSequence","LinkerPrimerSequence","Barcode_right","Index.Number","number","code","site_name","site_host","site_code","description","location","city","state","comment","lat","long","elev","date","Description","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"70","OTU_5","INV",56439,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__unidentified","s__Clavicipitaceae_sp"
"13","OTU_14","INV",47872,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Acrostalagmus","s__Acrostalagmus_luteoalbus"
"73","OTU_53","INV",45861,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__unidentified","g__unidentified","s__Hypocreales_sp"
"6","OTU_12","INV",39873,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__unidentified","g__unidentified","s__Hypocreales_sp"
"55","OTU_38","INV",35473,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Trichosporon","s__Trichosporon_moniliiforme"
"98","OTU_9","INV",21605,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetidae_ord_Incertae_sedis","f__Eremomycetaceae","g__Arthrographis","s__Arthrographis_curvata"
"3","OTU_115","INV",20374,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenales_fam_Incertae_sedis","g__Arthropsis","s__Arthropsis_hispanica"
"47","OTU_32","INV",14360,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metarhizium","s__Metarhizium_marquandii"
"49","OTU_34","INV",13708,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metarhizium","s__Metarhizium_anisopliae"
"32","OTU_22","INV",13679,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__Ascomycota_sp"
"64","OTU_46","INV",13044,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__unidentified","f__unidentified","g__unidentified","s__Sordariomycetes_sp"
"92","OTU_77","INV",11107,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Basidiomycota","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__Basidiomycota_sp"
"84","OTU_65","INV",9891,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__unidentified","g__unidentified","s__Chaetothyriales_sp"
"38","OTU_24","INV",9483,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__unidentified","f__unidentified","g__unidentified","s__Sordariomycetes_sp"
"94","OTU_84","INV",9341,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__Fusarium_pseudensiforme"
"62","OTU_44","INV",8479,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium","s__Penicillium_nodositatum"
"11","OTU_136","INV",8007,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces","s__Archaeorhizomyces_sp"
"27","OTU_19","INV",7590,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium","s__Penicillium_thomii"
"76","OTU_57","INV",6652,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Basidiomycota","c__Wallemiomycetes","o__Geminibasidiales","f__Geminibasidiaceae","g__Geminibasidium","s__Geminibasidium_sp"
"57","OTU_39","INV",6219,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Trichothecium","s__Trichothecium_crotocinigenum"
"77","OTU_571","INV",5446,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__unidentified","g__unidentified","s__Agaricales_sp"
"44","OTU_30","INV",5381,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sarocladium","s__Sarocladium_strictum"
"21","OTU_16","INV",5083,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium","s__Penicillium_wotroi"
"83","OTU_634","INV",4831,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__unidentified","g__unidentified","s__Agaricales_sp"
"96","OTU_89","INV",4577,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium","s__Penicillium_parviverrucosum"
"10","OTU_133","INV",4426,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metacordyceps","s__Metacordyceps_chlamydosporia"
"54","OTU_37","INV",4172,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Lecanicillium","s__Lecanicillium_primulinum"
"50","OTU_342","INV",4073,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Simplicillium","s__Simplicillium_aogashimaense"
"9","OTU_13","INV",4024,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Simplicillium","s__Simplicillium_minatense"
"18","OTU_15","INV",3759,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sarocladium","s__Sarocladium_kiliense"
"88","OTU_70","INV",3740,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__unidentified","s__Dermateaceae_sp"
