"","OTU","Sample","Abundance","BarcodeSequence","LinkerPrimerSequence","Barcode_right","Index.Number","number","code","site_name","site_host","site_code","description","location","city","state","comment","lat","long","elev","date","Description","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"81","OTU_6","UN",144821,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreomycetidae_ord_Incertae_sedis","f__Plectosphaerellaceae","g__Verticillium","s__Verticillium_leptobactrum"
"10","OTU_12","UN",133456,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__unidentified","g__unidentified","s__Hypocreales_sp"
"72","OTU_5","UN",127707,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__unidentified","s__Clavicipitaceae_sp"
"12","OTU_13","UN",104751,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Simplicillium","s__Simplicillium_minatense"
"39","OTU_19","UN",101952,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium","s__Penicillium_thomii"
"53","OTU_33","UN",89749,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariales_fam_Incertae_sedis","g__Monographella","s__Monographella_cucumerina"
"42","OTU_23","UN",81939,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Purpureocillium","s__Purpureocillium_lavendulum"
"25","OTU_15","UN",78983,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sarocladium","s__Sarocladium_kiliense"
"20","OTU_14","UN",70575,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Acrostalagmus","s__Acrostalagmus_luteoalbus"
"96","OTU_9","UN",60966,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetidae_ord_Incertae_sedis","f__Eremomycetaceae","g__Arthrographis","s__Arthrographis_curvata"
"29","OTU_16","UN",60617,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium","s__Penicillium_wotroi"
"74","OTU_51","UN",55161,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Scopulariopsis","s__Scopulariopsis_acremonium"
"71","OTU_49","UN",51740,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Myriodontium","s__Myriodontium_keratinophilum"
"73","OTU_50","UN",50308,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__unidentified","g__unidentified","s__Hypocreales_sp"
"50","OTU_31","UN",48106,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__Ascomycota_sp"
"49","OTU_30","UN",44029,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sarocladium","s__Sarocladium_strictum"
"54","OTU_34","UN",43092,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metarhizium","s__Metarhizium_anisopliae"
"61","OTU_38","UN",42284,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Trichosporon","s__Trichosporon_moniliiforme"
"18","OTU_138","UN",40940,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__unidentified","s__Cordycipitaceae_sp"
"82","OTU_60","UN",40867,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Purpureocillium","s__Purpureocillium_lilacinum"
"58","OTU_37","UN",39740,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Lecanicillium","s__Lecanicillium_primulinum"
"35","OTU_17","UN",37816,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Pseudallescheria","s__Pseudallescheria_sp"
"46","OTU_26","UN",36345,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Scedosporium","s__Scedosporium_minutisporum"
"66","OTU_42","UN",35622,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Ilyonectria","s__Ilyonectria_mors-panacis"
"7","OTU_11","UN",34355,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Zygomycota","c__Mortierellomycotina_cls_Incertae_sedis","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_humilis"
"80","OTU_59","UN",33066,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Gymnoascaceae","g__unidentified","s__Gymnoascaceae_sp"
"69","OTU_47","UN",31951,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__unidentified","f__unidentified","g__unidentified","s__Sordariomycetes_sp"
"75","OTU_54","UN",31665,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetidae_ord_Incertae_sedis","f__Eremomycetaceae","g__Arthrographis","s__Arthrographis_kalrae"
"52","OTU_32","UN",29678,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metarhizium","s__Metarhizium_marquandii"
"41","OTU_22","UN",29402,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__Ascomycota_sp"
"62","OTU_39","UN",28802,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Trichothecium","s__Trichothecium_crotocinigenum"
"44","OTU_25","UN",27003,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Clonostachys","s__Clonostachys_candelabrum"
"43","OTU_24","UN",26925,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__unidentified","f__unidentified","g__unidentified","s__Sordariomycetes_sp"
"70","OTU_48","UN",26738,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__unidentified","f__unidentified","g__unidentified","s__Sordariomycetes_sp"
"91","OTU_82","UN",26543,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetidae_ord_Incertae_sedis","f__Eremomycetaceae","g__Arthrographis","s__Arthrographis_sp"
"94","OTU_87","UN",25316,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Beauveria","s__Beauveria_pseudobassiana"
