"","OTU","Sample","Abundance","BarcodeSequence","LinkerPrimerSequence","Barcode_right","Index.Number","number","code","site_name","site_host","site_code","description","location","city","state","comment","lat","long","elev","date","Description","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","OTU_10","PL",138433,11.4146341463415,1,8.71341463414634,199.621951219512,82.5,17.140243902439,16.5548780487805,2.8780487804878,1,8.53048780487805,15.5182926829268,11.3170731707317,3.73780487804878,5.51219512195122,11.8414634146341,11.8841463414634,13.0060975609756,10.0792682926829,82.5,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","g__Sistotrema","s__Sistotrema_sp"
"65","OTU_5","PL",130088,11.4146341463415,1,8.71341463414634,199.621951219512,82.5,17.140243902439,16.5548780487805,2.8780487804878,1,8.53048780487805,15.5182926829268,11.3170731707317,3.73780487804878,5.51219512195122,11.8414634146341,11.8841463414634,13.0060975609756,10.0792682926829,82.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__unidentified","s__Clavicipitaceae_sp"
"70","OTU_6","PL",126738,11.4146341463415,1,8.71341463414634,199.621951219512,82.5,17.140243902439,16.5548780487805,2.8780487804878,1,8.53048780487805,15.5182926829268,11.3170731707317,3.73780487804878,5.51219512195122,11.8414634146341,11.8841463414634,13.0060975609756,10.0792682926829,82.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreomycetidae_ord_Incertae_sedis","f__Plectosphaerellaceae","g__Verticillium","s__Verticillium_leptobactrum"
"94","OTU_9","PL",115126,11.4146341463415,1,8.71341463414634,199.621951219512,82.5,17.140243902439,16.5548780487805,2.8780487804878,1,8.53048780487805,15.5182926829268,11.3170731707317,3.73780487804878,5.51219512195122,11.8414634146341,11.8841463414634,13.0060975609756,10.0792682926829,82.5,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetidae_ord_Incertae_sedis","f__Eremomycetaceae","g__Arthrographis","s__Arthrographis_curvata"
"29","OTU_15","PL",110354,11.4146341463415,1,8.71341463414634,199.621951219512,82.5,17.140243902439,16.5548780487805,2.8780487804878,1,8.53048780487805,15.5182926829268,11.3170731707317,3.73780487804878,5.51219512195122,11.8414634146341,11.8841463414634,13.0060975609756,10.0792682926829,82.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sarocladium","s__Sarocladium_kiliense"
"59","OTU_44","PL",90475,11.4146341463415,1,8.71341463414634,199.621951219512,82.5,17.140243902439,16.5548780487805,2.8780487804878,1,8.53048780487805,15.5182926829268,11.3170731707317,3.73780487804878,5.51219512195122,11.8414634146341,11.8841463414634,13.0060975609756,10.0792682926829,82.5,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium","s__Penicillium_nodositatum"
"7","OTU_11","PL",85365,11.4146341463415,1,8.71341463414634,199.621951219512,82.5,17.140243902439,16.5548780487805,2.8780487804878,1,8.53048780487805,15.5182926829268,11.3170731707317,3.73780487804878,5.51219512195122,11.8414634146341,11.8841463414634,13.0060975609756,10.0792682926829,82.5,"k__Fungi","p__Zygomycota","c__Mortierellomycotina_cls_Incertae_sedis","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_humilis"
"45","OTU_29","PL",82841,11.4146341463415,1,8.71341463414634,199.621951219512,82.5,17.140243902439,16.5548780487805,2.8780487804878,1,8.53048780487805,15.5182926829268,11.3170731707317,3.73780487804878,5.51219512195122,11.8414634146341,11.8841463414634,13.0060975609756,10.0792682926829,82.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__unidentified","s__Nectriaceae_sp"
"39","OTU_22","PL",75916,11.4146341463415,1,8.71341463414634,199.621951219512,82.5,17.140243902439,16.5548780487805,2.8780487804878,1,8.53048780487805,15.5182926829268,11.3170731707317,3.73780487804878,5.51219512195122,11.8414634146341,11.8841463414634,13.0060975609756,10.0792682926829,82.5,"k__Fungi","p__Ascomycota","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__Ascomycota_sp"
"41","OTU_24","PL",74622,11.4146341463415,1,8.71341463414634,199.621951219512,82.5,17.140243902439,16.5548780487805,2.8780487804878,1,8.53048780487805,15.5182926829268,11.3170731707317,3.73780487804878,5.51219512195122,11.8414634146341,11.8841463414634,13.0060975609756,10.0792682926829,82.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__unidentified","f__unidentified","g__unidentified","s__Sordariomycetes_sp"
